START DATE,START TIME,START TIME ET,SUBJECT,LOCATION,DESCRIPTION,END DATE,END DATE ET,END TIME,END TIME ET,REMINDER OFF,REMINDER ON,REMINDER DATE,REMINDER TIME,REMINDER TIME ET,SHOWTIMEAS FREE,SHOWTIMEAS BUSY
04-29-19,6:40 PM,7:40 PM,Rockies at Brewers,Miller Park - Milwaukee,Local TV: FSWI ----- Local Radio: WTMJ 620,4-29-19,4-29-19,9:40 PM,10:40 PM,FALSE,TRUE,4-29-19,5:40 PM,6:40 PM,FREE,BUSY
04-30-19,6:40 PM,7:40 PM,Rockies at Brewers,Miller Park - Milwaukee,Local TV: FSWI ----- Local Radio: WTMJ 620,4-30-19,4-30-19,9:40 PM,10:40 PM,FALSE,TRUE,4-30-19,5:40 PM,6:40 PM,FREE,BUSY
05-01-19,6:40 PM,7:40 PM,Rockies at Brewers,Miller Park - Milwaukee,Local TV: FSWI ----- Local Radio: WTMJ 620,5-1-19,5-1-19,9:40 PM,10:40 PM,FALSE,TRUE,5-1-19,5:40 PM,6:40 PM,FREE,BUSY
05-02-19,12:10 PM,1:10 PM,Rockies at Brewers,Miller Park - Milwaukee,Local TV: FSWI ----- Local Radio: WTMJ 620,5-2-19,5-2-19,3:10 PM,4:10 PM,FALSE,TRUE,5-2-19,11:10 AM,12:10 PM,FREE,BUSY
05-03-19,7:10 PM,8:10 PM,Mets at Brewers,Miller Park - Milwaukee,Local TV: FSWI ----- Local Radio: WTMJ 620,5-3-19,5-3-19,10:10 PM,11:10 PM,FALSE,TRUE,5-3-19,6:10 PM,7:10 PM,FREE,BUSY
05-04-19,6:10 PM,7:10 PM,Mets at Brewers,Miller Park - Milwaukee,Local TV: FSWI ----- Local Radio: WTMJ 620,5-4-19,5-4-19,9:10 PM,10:10 PM,FALSE,TRUE,5-4-19,5:10 PM,6:10 PM,FREE,BUSY
05-05-19,1:10 PM,2:10 PM,Mets at Brewers,Miller Park - Milwaukee,Local TV: FSWI- WYTU ----- Local Radio: WTMJ 620,5-5-19,5-5-19,4:10 PM,5:10 PM,FALSE,TRUE,5-5-19,12:10 PM,1:10 PM,FREE,BUSY
05-06-19,6:40 PM,7:40 PM,Nationals at Brewers,Miller Park - Milwaukee,Local TV: FSWI ----- Local Radio: WTMJ 620,5-6-19,5-6-19,9:40 PM,10:40 PM,FALSE,TRUE,5-6-19,5:40 PM,6:40 PM,FREE,BUSY
05-07-19,6:40 PM,7:40 PM,Nationals at Brewers,Miller Park - Milwaukee,Local TV: FSWI ----- Local Radio: WTMJ 620,5-7-19,5-7-19,9:40 PM,10:40 PM,FALSE,TRUE,5-7-19,5:40 PM,6:40 PM,FREE,BUSY
05-08-19,12:10 PM,1:10 PM,Nationals at Brewers,Miller Park - Milwaukee,Local TV: FSWI ----- Local Radio: WTMJ 620,5-8-19,5-8-19,3:10 PM,4:10 PM,FALSE,TRUE,5-8-19,11:10 AM,12:10 PM,FREE,BUSY
05-21-19,6:40 PM,7:40 PM,Reds at Brewers,Miller Park - Milwaukee,Local TV: FSWI ----- Local Radio: WTMJ 620,5-21-19,5-21-19,9:40 PM,10:40 PM,FALSE,TRUE,5-21-19,5:40 PM,6:40 PM,FREE,BUSY
05-22-19,12:10 PM,1:10 PM,Reds at Brewers,Miller Park - Milwaukee,Local TV: FSWI ----- Local Radio: WTMJ 620,5-22-19,5-22-19,3:10 PM,4:10 PM,FALSE,TRUE,5-22-19,11:10 AM,12:10 PM,FREE,BUSY
05-24-19,7:10 PM,8:10 PM,Phillies at Brewers,Miller Park - Milwaukee,Local TV: FSWI ----- Local Radio: WTMJ 620,5-24-19,5-24-19,10:10 PM,11:10 PM,FALSE,TRUE,5-24-19,6:10 PM,7:10 PM,FREE,BUSY
05-25-19,3:10 PM,4:10 PM,Phillies at Brewers,Miller Park - Milwaukee,Local TV: FSWI ----- Local Radio: WTMJ 620,5-25-19,5-25-19,6:10 PM,7:10 PM,FALSE,TRUE,5-25-19,2:10 PM,3:10 PM,FREE,BUSY
05-26-19,1:10 PM,2:10 PM,Phillies at Brewers,Miller Park - Milwaukee,Local TV: FSWI- WYTU ----- Local Radio: WTMJ 620,5-26-19,5-26-19,4:10 PM,5:10 PM,FALSE,TRUE,5-26-19,12:10 PM,1:10 PM,FREE,BUSY
06-04-19,6:40 PM,7:40 PM,Marlins at Brewers,Miller Park - Milwaukee,Local TV: FSWI ----- Local Radio: WTMJ 620,6-4-19,6-4-19,9:40 PM,10:40 PM,FALSE,TRUE,6-4-19,5:40 PM,6:40 PM,FREE,BUSY
06-05-19,6:40 PM,7:40 PM,Marlins at Brewers,Miller Park - Milwaukee,Local TV: FSWI ----- Local Radio: WTMJ 620,6-5-19,6-5-19,9:40 PM,10:40 PM,FALSE,TRUE,6-5-19,5:40 PM,6:40 PM,FREE,BUSY
06-06-19,1:10 PM,2:10 PM,Marlins at Brewers,Miller Park - Milwaukee,Local TV: FSWI ----- Local Radio: WTMJ 620,6-6-19,6-6-19,4:10 PM,5:10 PM,FALSE,TRUE,6-6-19,12:10 PM,1:10 PM,FREE,BUSY
06-07-19,7:10 PM,8:10 PM,Pirates at Brewers,Miller Park - Milwaukee,Local TV: FSWI ----- Local Radio: WTMJ 620,6-7-19,6-7-19,10:10 PM,11:10 PM,FALSE,TRUE,6-7-19,6:10 PM,7:10 PM,FREE,BUSY
06-08-19,3:10 PM,4:10 PM,Pirates at Brewers,Miller Park - Milwaukee,Local TV: FSWI ----- Local Radio: WTMJ 620,6-8-19,6-8-19,6:10 PM,7:10 PM,FALSE,TRUE,6-8-19,2:10 PM,3:10 PM,FREE,BUSY
06-09-19,1:10 PM,2:10 PM,Pirates at Brewers,Miller Park - Milwaukee,Local TV: FSWI ----- Local Radio: WTMJ 620,6-9-19,6-9-19,4:10 PM,5:10 PM,FALSE,TRUE,6-9-19,12:10 PM,1:10 PM,FREE,BUSY
06-20-19,7:10 PM,8:10 PM,Reds at Brewers,Miller Park - Milwaukee,Local TV: FSWI ----- Local Radio: WTMJ 620,6-20-19,6-20-19,10:10 PM,11:10 PM,FALSE,TRUE,6-20-19,6:10 PM,7:10 PM,FREE,BUSY
06-21-19,7:10 PM,8:10 PM,Reds at Brewers,Miller Park - Milwaukee,Local TV: FSWI ----- Local Radio: WTMJ 620,6-21-19,6-21-19,10:10 PM,11:10 PM,FALSE,TRUE,6-21-19,6:10 PM,7:10 PM,FREE,BUSY
06-22-19,3:10 PM,4:10 PM,Reds at Brewers,Miller Park - Milwaukee,Local TV: FSWI ----- Local Radio: WTMJ 620,6-22-19,6-22-19,6:10 PM,7:10 PM,FALSE,TRUE,6-22-19,2:10 PM,3:10 PM,FREE,BUSY
06-23-19,1:10 PM,2:10 PM,Reds at Brewers,Miller Park - Milwaukee,Local TV: FSWI ----- Local Radio: WTMJ 620,6-23-19,6-23-19,4:10 PM,5:10 PM,FALSE,TRUE,6-23-19,12:10 PM,1:10 PM,FREE,BUSY
06-25-19,7:10 PM,8:10 PM,Mariners at Brewers,Miller Park - Milwaukee,Local TV: FSWI ----- Local Radio: WTMJ 620,6-25-19,6-25-19,10:10 PM,11:10 PM,FALSE,TRUE,6-25-19,6:10 PM,7:10 PM,FREE,BUSY
06-26-19,7:10 PM,8:10 PM,Mariners at Brewers,Miller Park - Milwaukee,Local TV: FSWI ----- Local Radio: WTMJ 620,6-26-19,6-26-19,10:10 PM,11:10 PM,FALSE,TRUE,6-26-19,6:10 PM,7:10 PM,FREE,BUSY
06-27-19,1:10 PM,2:10 PM,Mariners at Brewers,Miller Park - Milwaukee,Local TV: FSWI ----- Local Radio: WTMJ 620,6-27-19,6-27-19,4:10 PM,5:10 PM,FALSE,TRUE,6-27-19,12:10 PM,1:10 PM,FREE,BUSY
06-28-19,7:10 PM,8:10 PM,Pirates at Brewers,Miller Park - Milwaukee,Local TV: FSWI ----- Local Radio: WTMJ 620,6-28-19,6-28-19,10:10 PM,11:10 PM,FALSE,TRUE,6-28-19,6:10 PM,7:10 PM,FREE,BUSY
06-29-19,7:15 PM,8:15 PM,Pirates at Brewers,Miller Park - Milwaukee,Local TV: FOX ----- Local Radio: WTMJ 620,6-29-19,6-29-19,10:15 PM,11:15 PM,FALSE,TRUE,6-29-19,6:15 PM,7:15 PM,FREE,BUSY
06-30-19,1:10 PM,2:10 PM,Pirates at Brewers,Miller Park - Milwaukee,Local TV: FSWI- WYTU ----- Local Radio: WTMJ 620,6-30-19,6-30-19,4:10 PM,5:10 PM,FALSE,TRUE,6-30-19,12:10 PM,1:10 PM,FREE,BUSY
07-09-19,,,NL All-Stars at AL All-Stars - Time TBD,Progressive Field - Cleveland,,7-9-19,7-9-19,,,FALSE,TRUE,7-9-19,,,FREE,BUSY
07-12-19,7:10 PM,8:10 PM,Giants at Brewers,Miller Park - Milwaukee,Local TV: FSWI ----- Local Radio: WTMJ 620,7-12-19,7-12-19,10:10 PM,11:10 PM,FALSE,TRUE,7-12-19,6:10 PM,7:10 PM,FREE,BUSY
